time,predictions,gps_updates,interpolations,timing_violations,imu_read_count,imu_error_count,imu_actual_rate,gps_read_count,gps_error_count,gps_actual_rate,imu_buffer_overruns,gps_buffer_overruns
1749661400.7753284,24,24,0,0,201,0,50.34289258848857,108,0,16.259771534591767,0,0
1749661400.829883,25,25,0,0,203,0,49.77251550620699,108,0,16.259771534591767,0,0
1749661400.870626,26,26,0,0,205,0,49.810569668583014,108,0,16.259771534591767,0,0
1749661400.9197803,27,27,0,0,207,0,49.33384145624262,108,0,16.259771534591767,0,0
1749661400.9717796,28,28,0,0,210,0,49.520124091222826,108,0,16.259771534591767,0,0
1749661401.021435,29,29,0,0,212,0,49.84158559380745,109,0,15.251163807807956,0,0
1749661401.0698223,30,30,0,0,214,0,49.76246492617442,109,0,15.251163807807956,0,0
1749661401.1233,31,31,0,0,216,0,49.359305225752436,109,0,15.251163807807956,0,0
1749661401.171503,32,32,0,0,219,0,48.76256236714502,109,0,15.251163807807956,0,0
1749661401.2234674,33,33,0,0,222,0,49.208947823758855,110,0,14.368844737488862,0,0
1749661401.2675076,34,34,0,0,224,0,49.17882935667169,110,0,14.368844737488862,0,0
1749661401.3223767,35,35,0,0,226,0,49.31500149086528,110,0,14.368844737488862,0,0
1749661401.353698,36,36,0,0,228,0,49.43168291720546,110,0,14.368844737488862,0,0
1749661401.4067495,37,37,0,0,231,0,49.229786909393944,111,0,13.583068368272277,0,0
1749661401.4504325,38,38,0,0,233,0,49.38480692458095,111,0,13.583068368272277,0,0
1749661401.495643,39,39,0,0,236,0,49.720440590276596,111,0,13.583068368272277,0,0
1749661401.539877,40,40,0,0,238,0,49.845198736490836,111,0,13.583068368272277,0,0
1749661401.5843031,41,41,0,0,240,0,50.04157898491918,112,0,12.876880098532615,0,0
1749661401.6371853,42,42,0,0,242,0,50.065830482270655,112,0,12.876880098532615,0,0
1749661401.6619318,43,43,0,0,243,0,50.155693801234264,112,0,12.876880098532615,0,0
1749661401.6899855,44,44,0,0,245,0,50.31240853497623,112,0,12.876880098532615,0,0
1749661401.7229967,45,45,0,0,247,0,50.37029208808999,112,0,12.876880098532615,0,0
1749661401.7493951,46,46,0,0,248,0,50.41708277178175,112,0,12.876880098532615,0,0
1749661401.7776134,47,47,0,0,250,0,50.478415001184246,112,0,12.876880098532615,0,0
1749661401.8158374,48,48,0,0,252,0,51.11980082029511,113,0,12.246364751712294,0,0
1749661401.861627,49,49,0,0,254,0,51.174700007930646,113,0,12.246364751712294,0,0
1749661401.907321,50,50,0,0,257,0,51.4710018618537,113,0,12.246364751712294,0,0
1749661401.951531,51,51,0,0,259,0,51.515254238953524,113,0,12.246364751712294,0,0
1749661401.9905148,52,52,0,0,260,0,51.523898649002234,113,0,12.246364751712294,0,0
1749661402.0331218,53,53,0,0,262,0,51.4466702041355,114,0,11.64037263588373,0,0
1749661402.0765302,54,54,0,0,265,0,51.97192777590398,114,0,11.64037263588373,0,0
1749661402.1222897,55,55,0,0,267,0,52.28032388018029,114,0,11.64037263588373,0,0
1749661402.1805086,56,56,0,0,269,0,52.30945597619032,114,0,11.64037263588373,0,0
1749661402.213595,57,57,0,0,271,0,52.19282319811552,115,0,11.123903291540298,0,0
1749661402.2571554,58,58,0,0,274,0,52.285368163784696,115,0,11.123903291540298,0,0
1749661402.3049903,59,59,0,0,276,0,52.248282185050655,115,0,11.123903291540298,0,0
1749661402.3496666,60,60,0,0,278,0,52.09878027633953,115,0,11.123903291540298,0,0
1749661402.3961008,61,61,0,0,281,0,52.219036131858324,115,0,11.123903291540298,0,0
1749661402.4311566,62,62,0,0,282,0,52.00982187741104,116,0,10.641210527813993,0,0
1749661402.4745827,63,63,0,0,284,0,51.8796666979192,116,0,10.641210527813993,0,0
1749661402.52008,64,64,0,0,286,0,51.92081968045139,116,0,10.641210527813993,0,0
1749661402.5661702,65,65,0,0,288,0,51.93846196520202,116,0,10.641210527813993,0,0
1749661402.607826,66,66,0,0,290,0,51.76790504030297,116,0,10.641210527813993,0,0
1749661402.6526215,67,67,0,0,292,0,51.16378812944647,117,0,10.170388951597161,0,0
1749661402.690629,68,68,0,0,295,0,51.13651631214667,117,0,10.170388951597161,0,0
1749661402.7370734,69,69,0,0,296,0,51.06493225681876,117,0,10.170388951597161,0,0
1749661402.778593,70,70,0,0,299,0,51.04448629285923,117,0,10.170388951597161,0,0
1749661402.822473,71,71,0,0,301,0,50.9488752824518,118,0,9.77525944161258,2,0
1749661402.8633742,72,72,0,0,303,0,50.74791487648243,118,0,9.77525944161258,4,0
1749661402.9040647,73,73,0,0,304,0,50.36746127966829,118,0,9.77525944161258,5,0
1749661402.9439895,74,74,0,0,306,0,50.246506300004775,118,0,9.77525944161258,7,0
1749661402.98333,75,75,0,0,308,0,50.19407207174,118,0,9.77525944161258,9,0
1749661403.0218759,76,76,0,0,310,0,50.16440389058111,119,0,9.407820405030025,11,0
1749661403.0635834,77,77,0,0,312,0,50.46056060338468,119,0,9.407820405030025,13,0
1749661403.113711,78,78,0,0,314,0,50.38545563578257,119,0,9.407820405030025,15,0
1749661403.153555,79,79,0,0,316,0,50.344850433577705,119,0,9.407820405030025,17,0
1749661403.1933215,80,80,0,0,318,0,50.58464812931172,119,0,9.407820405030025,19,0
1749661403.216871,81,81,0,0,319,0,50.55463844361819,119,0,9.407820405030025,20,0
1749661403.2610974,82,82,0,0,321,0,50.08729413034745,120,0,9.066750136402115,22,0
1749661403.3026536,83,83,0,0,324,0,50.10134215040303,120,0,9.066750136402115,25,0
1749661403.3417315,84,84,0,0,326,0,49.96307241332976,120,0,9.066750136402115,27,0
1749661403.396199,85,85,0,0,328,0,49.999833107551694,120,0,9.066750136402115,29,0
1749661403.4370348,86,86,0,0,330,0,49.98827255721181,121,0,8.752485220974426,31,0
1749661403.4753861,87,87,0,0,332,0,49.97796791489729,121,0,8.752485220974426,33,0
1749661403.5129538,88,88,0,0,334,0,50.119769680860344,121,0,8.752485220974426,35,0
1749661403.5518749,89,89,0,0,336,0,50.20241092949598,121,0,8.752485220974426,37,0
1749661403.5938025,90,90,0,0,338,0,50.47609442990818,121,0,8.752485220974426,39,0
1749661403.6342285,91,91,0,0,340,0,50.69402511360005,122,0,8.459513271578656,41,0
1749661403.6742074,92,92,0,0,342,0,51.069048287557564,122,0,8.459513271578656,43,0
1749661403.7107997,93,93,0,0,344,0,51.0096106135109,122,0,8.459513271578656,45,0
1749661403.7543435,94,94,0,0,346,0,50.901401640959726,122,0,8.459513271578656,47,0
1749661403.792613,95,95,0,0,348,0,50.91602136035709,122,0,8.459513271578656,49,0
1749661403.8280215,96,96,0,0,350,0,50.95390111674983,123,0,8.187489524813733,51,0
1749661403.8664749,97,97,0,0,352,0,51.32551946496106,123,0,8.187489524813733,53,0
1749661403.9034553,98,98,0,0,354,0,52.03785262270874,123,0,8.187489524813733,55,0
1749661403.941932,99,99,0,0,356,0,52.41145180945107,123,0,8.187489524813733,57,0
1749661403.9781387,100,100,0,0,357,0,52.415591270999705,123,0,8.187489524813733,58,0
1749661404.016043,101,101,0,0,359,0,52.44433663472804,123,0,8.187489524813733,60,0
1749661404.057374,102,102,0,0,361,0,52.35846948586311,124,0,7.931976187490005,62,0
1749661404.0968297,103,103,0,0,363,0,52.03502494870071,124,0,7.931976187490005,64,0
1749661404.137265,104,104,0,0,365,0,52.178058340644036,124,0,7.931976187490005,66,0
1749661404.1779618,105,105,0,0,367,0,52.23016866855349,124,0,7.931976187490005,68,0
1749661404.2206542,106,106,0,0,369,0,52.049037212240194,124,0,7.931976187490005,70,0
1749661404.2631133,107,107,0,0,371,0,52.191524282729645,125,0,7.675376129304721,72,0
1749661404.3054278,108,108,0,0,373,0,51.77466592701165,125,0,7.675376129304721,74,0
1749661404.3457396,109,109,0,0,376,0,51.75279209150277,125,0,7.675376129304721,77,0
1749661404.3956664,110,110,0,0,378,0,51.88331183024476,125,0,7.675376129304721,79,0
1749661404.4413364,111,111,0,0,380,0,52.048972622288844,126,0,7.448403477445528,81,0
1749661404.4877355,112,112,0,0,382,0,52.22471885489479,126,0,7.448403477445528,83,0
1749661404.5222778,113,113,0,0,383,0,51.76049437685326,126,0,7.448403477445528,84,0
1749661404.5599768,114,114,0,0,386,0,51.6170572533692,126,0,7.448403477445528,87,0
1749661404.6018188,115,115,0,0,388,0,51.795893034043765,126,0,7.448403477445528,89,0
1749661404.6371067,116,116,0,0,390,0,52.05744819331301,127,0,7.2369249252963295,91,0
1749661404.6782212,117,117,0,0,392,0,52.11518385237239,127,0,7.2369249252963295,93,0
1749661404.7140703,118,118,0,0,394,0,52.20976697509772,127,0,7.2369249252963295,95,0
1749661404.748874,119,119,0,0,396,0,52.53847406460987,127,0,7.2369249252963295,97,0
1749661404.7688825,120,120,0,0,397,0,52.568474436577986,127,0,7.2369249252963295,98,0
1749661404.7980387,121,121,0,0,398,0,52.53802655721245,127,0,7.2369249252963295,99,0
1749661404.819423,122,122,0,0,400,0,52.52795965584031,128,0,7.036543014789493,101,0
1749661404.8480916,123,123,0,0,401,0,52.203073908419995,128,0,7.036543014789493,102,0
1749661404.872434,124,124,0,0,402,0,52.093293145496425,128,0,7.036543014789493,103,0
1749661404.8983285,125,125,0,0,404,0,51.87086401889674,128,0,7.036543014789493,105,0
1749661404.9265842,126,126,0,0,405,0,51.81882762531551,128,0,7.036543014789493,106,0
