time,accel_filter_effectiveness,gyro_filter_effectiveness,accel_cutoff_hz,gyro_cutoff_hz,instantaneous_accel_noise_removed,instantaneous_gyro_noise_removed,iteration
1749660714.4391565,0.6693898669872365,0.5943065302426718,3.0,5.0,0.022917519592783195,0.09199502140581886,4
1749660714.4982524,0.6693898669872365,0.5943065302426718,3.0,5.0,0.04399263190426735,0.09843599915404118,5
1749660714.541999,0.6693898669872365,0.5943065302426718,3.0,5.0,0.07640773166629874,0.010210582295222186,6
1749660714.5917957,0.6693898669872365,0.5943065302426718,3.0,5.0,0.07062496389399889,0.0010593055730979762,7
1749660714.6392448,0.6693898669872365,0.5943065302426718,3.0,5.0,0.02495805186053572,0.07559341797740342,8
1749660714.679537,0.6693898669872365,0.5943065302426718,3.0,5.0,0.03606366422679018,0.05114746699386006,9
1749660714.7184734,0.6693898669872365,0.5943065302426718,3.0,5.0,0.06927835865003111,0.058876588375997414,10
1749660714.7593222,0.6693898669872365,0.5943065302426718,3.0,5.0,0.015177527262999719,0.07768661022627035,11
1749660714.7990198,0.6693898669872365,0.5943065302426718,3.0,5.0,0.06601655738798377,0.11531939884062348,12
1749660714.8392987,0.6693898669872365,0.5943065302426718,3.0,5.0,0.110039644944714,0.14670401777401035,13
1749660714.8816051,0.6693898669872365,0.5943065302426718,3.0,5.0,0.007307986226303624,0.005782698828568948,14
1749660714.9225054,0.6693898669872365,0.5943065302426718,3.0,5.0,0.027561503662938337,0.9656989352743192,15
1749660714.9640663,0.6693898669872365,0.5943065302426718,3.0,5.0,0.04139858704465845,0.8572581056431573,16
1749660715.0052707,0.6693898669872365,0.5943065302426718,3.0,5.0,0.004798223345776953,0.1512241205495642,17
1749660715.0451753,0.6693898669872365,0.5943065302426718,3.0,5.0,0.02547444126683779,0.009504483673740396,18
1749660715.0863614,0.6693898669872365,0.5943065302426718,3.0,5.0,0.00438492989954185,0.0009573573256368743,19
1749660715.127767,0.6693898669872365,0.5943065302426718,3.0,5.0,0.034199344676913816,0.2751268004396864,20
1749660715.1665483,0.6693898669872365,0.5943065302426718,3.0,5.0,0.03737837939987797,0.8182701670867918,21
1749660715.2071037,0.6693898669872365,0.5943065302426718,3.0,5.0,0.025346010658458096,1.493947880774851,22
1749660715.246981,0.6693898669872365,0.5943065302426718,3.0,5.0,0.12628924349182635,0.2942598275215889,23
1749660715.2979546,0.6693898669872365,0.5943065302426718,3.0,5.0,0.0012426120076744112,0.04938198256414926,24
1749660715.3532991,0.6596048921563346,0.678963107955494,3.0,5.0,0.028173240260038923,0.001626784895371631,25
1749660715.396329,0.6596048921563346,0.678963107955494,3.0,5.0,0.026912238548264616,0.01021134002086759,26
1749660715.4489238,0.6596048921563346,0.678963107955494,3.0,5.0,0.007086715258190001,0.23519241926860307,27
1749660715.5019202,0.6596048921563346,0.678963107955494,3.0,5.0,0.10368066238919771,0.07780539296118438,28
1749660715.555036,0.6596048921563346,0.678963107955494,3.0,5.0,0.07559643532575759,0.13381549321997915,29
1749660715.6126652,0.6596048921563346,0.678963107955494,3.0,5.0,0.08290116630444051,0.04221389780545686,30
1749660715.6632075,0.6596048921563346,0.678963107955494,3.0,5.0,0.016501905345468415,0.22307338857810244,31
1749660715.70811,0.6596048921563346,0.678963107955494,3.0,5.0,0.11931590239362393,0.9133383819484625,32
1749660715.7529774,0.6596048921563346,0.678963107955494,3.0,5.0,0.005323493658216081,0.008103790074145648,33
1749660715.799344,0.6596048921563346,0.678963107955494,3.0,5.0,0.07048004051203621,0.19499019578122215,34
1749660715.8426008,0.6596048921563346,0.678963107955494,3.0,5.0,0.103508875371115,0.6812817015529147,35
1749660715.8852165,0.6596048921563346,0.678963107955494,3.0,5.0,0.010374087578508443,0.7994132170643476,36
1749660715.9312696,0.6596048921563346,0.678963107955494,3.0,5.0,0.005159043391038393,0.17244289758063114,37
1749660715.9734778,0.6596048921563346,0.678963107955494,3.0,5.0,0.04340446629565836,0.08559892478194699,38
1749660716.014536,0.6596048921563346,0.678963107955494,3.0,5.0,0.0077892667529140345,0.20940197991347817,39
1749660716.0560942,0.6596048921563346,0.678963107955494,3.0,5.0,0.08114723853542999,1.3624547949092563,40
1749660716.096861,0.6596048921563346,0.678963107955494,3.0,5.0,0.03999334399996596,0.9046559553110559,41
1749660716.1368804,0.6596048921563346,0.678963107955494,3.0,5.0,0.03584146239751339,0.2964457235537638,42
1749660716.1901844,0.6596048921563346,0.678963107955494,3.0,5.0,0.0010174364917395207,0.010234750241424477,43
1749660716.221234,0.6596048921563346,0.678963107955494,3.0,5.0,0.012356722950239197,0.030451270520385636,44
1749660716.2670648,0.6596048921563346,0.678963107955494,3.0,5.0,0.0022979217610790276,0.11149539625898564,45
1749660716.3124616,0.6596048921563346,0.678963107955494,3.0,5.0,0.05241196227537564,0.027137049439510695,46
1749660716.3552806,0.6596048921563346,0.678963107955494,3.0,5.0,0.026990635328596854,0.833839541386419,47
1749660716.3974166,0.6596048921563346,0.678963107955494,3.0,5.0,0.012057723082143826,0.8889476714881559,48
1749660716.4369366,0.6596048921563346,0.678963107955494,3.0,5.0,0.08077786239208522,0.3171912483762742,49
